ubicacionid,criticidadid,nodoid,nodo,tipoid,tipo,metricaid,minimo,maximo,umbral
4,2,7,rs485-ls-7,3,Sensor Maceta 30cm,2,39,42,U.N.7-SM30CM-Humd.
3,2,6,rs485-ls-5,1,Sensor Maceta 10cm,2,40,45,U.N.5-SM10CM-Humd.
3,2,6,rs485-ls-5,3,Sensor Maceta 30cm,2,39,42,U.N.5-SM30CM-Humd.
2,2,2,rs485-ls-2,1,Sensor Maceta 10cm,2,40,45,U.N.2-SM10CM-Humd.
2,2,2,rs485-ls-2,2,Sensor Maceta 20cm,2,39,42,U.N.2-SM20CM-Humd.
2,2,2,rs485-ls-2,3,Sensor Maceta 30cm,2,39,42,U.N.2-SM30CM-Humd.
1,2,1,rs485-ls-1,1,Sensor Maceta 10cm,2,40,45,U.N.1-SM10CM-Humd.
1,2,1,rs485-ls-1,2,Sensor Maceta 20cm,2,39,42,U.N.1-SM20CM-Humd.
1,2,1,rs485-ls-1,3,Sensor Maceta 30cm,2,39,42,U.N.1-SM30CM-Humd.
187,2,256,Nodo Prueba 1,1,Sensor Maceta 10cm,2,40,45,U.N.1-SM10CM-Humd.
187,2,256,Nodo Prueba 1,2,Sensor Maceta 20cm,2,39,42,U.N.1-SM20CM-Humd.
187,2,256,Nodo Prueba 1,3,Sensor Maceta 30cm,2,39,42,U.N.1-SM30CM-Humd.
76,2,84,rs485-ls-84,1,Sensor Maceta 10cm,2,35,42,U.N.84-SM10CM-Humd.
76,2,84,rs485-ls-84,3,Sensor Maceta 30cm,2,33,40,U.N.84-SM30CM-Humd.
51,2,16,rs485-ls-16,1,Sensor Maceta 10cm,2,35,42,U.N.16-SM10CM-Humd.
51,2,16,rs485-ls-16,3,Sensor Maceta 30cm,2,33,40,U.N.16-SM30CM-Humd.
75,2,83,rs485-ls-83,1,Sensor Maceta 10cm,2,35,42,U.N.83-SM10CM-Humd.
75,2,83,rs485-ls-83,3,Sensor Maceta 30cm,2,33,40,U.N.83-SM30CM-Humd.
52,2,18,rs485-ls-18,1,Sensor Maceta 10cm,2,35,42,U.N.18-SM10CM-Humd.
52,2,18,rs485-ls-18,3,Sensor Maceta 30cm,2,33,40,U.N.18-SM30CM-Humd.
80,2,88,rs485-ls-88,1,Sensor Maceta 10cm,2,35,42,U.N.88-SM10CM-Humd.
80,2,88,rs485-ls-88,3,Sensor Maceta 30cm,2,33,40,U.N.88-SM30CM-Humd.
30,2,37,rs485-ls-37,1,Sensor Maceta 10cm,2,35,42,U.N.37-SM10CM-Humd.
30,2,37,rs485-ls-37,3,Sensor Maceta 30cm,2,33,40,U.N.37-SM30CM-Humd.
45,2,11,rs485-ls-11,1,Sensor Maceta 10cm,2,35,42,U.N.11-SM10CM-Humd.
45,2,11,rs485-ls-11,3,Sensor Maceta 30cm,2,33,40,U.N.11-SM30CM-Humd.
47,2,13,rs485-ls-13,1,Sensor Maceta 10cm,2,35,42,U.N.13-SM10CM-Humd.
47,2,13,rs485-ls-13,3,Sensor Maceta 30cm,2,33,40,U.N.13-SM30CM-Humd.
46,2,12,rs485-ls-12,1,Sensor Maceta 10cm,2,35,42,U.N.12-SM10CM-Humd.
46,2,12,rs485-ls-12,3,Sensor Maceta 30cm,2,33,40,U.N.12-SM30CM-Humd.
32,2,39,rs485-ls-39,1,Sensor Maceta 10cm,2,35,42,U.N.39-SM10CM-Humd.
32,2,39,rs485-ls-39,3,Sensor Maceta 30cm,2,33,40,U.N.39-SM30CM-Humd.
53,2,20,rs485-ls-20,1,Sensor Maceta 10cm,2,35,42,U.N.20-SM10CM-Humd.
53,2,20,rs485-ls-20,3,Sensor Maceta 30cm,2,33,40,U.N.20-SM30CM-Humd.
54,2,21,rs485-ls-21,1,Sensor Maceta 10cm,2,35,42,U.N.21-SM10CM-Humd.
54,2,21,rs485-ls-21,3,Sensor Maceta 30cm,2,33,40,U.N.21-SM30CM-Humd.
33,2,60,rs485-ls-60,1,Sensor Maceta 10cm,2,35,42,U.N.60-SM10CM-Humd.
33,2,60,rs485-ls-60,3,Sensor Maceta 30cm,2,33,40,U.N.60-SM30CM-Humd.
79,2,87,rs485-ls-87,1,Sensor Maceta 10cm,2,35,42,U.N.87-SM10CM-Humd.
79,2,87,rs485-ls-87,3,Sensor Maceta 30cm,2,33,40,U.N.87-SM30CM-Humd.
59,2,41,rs485-ls-41,1,Sensor Maceta 10cm,2,35,42,U.N.41-SM10CM-Humd.
59,2,41,rs485-ls-41,3,Sensor Maceta 30cm,2,33,40,U.N.41-SM30CM-Humd.
60,2,42,rs485-ls-42,1,Sensor Maceta 10cm,2,35,42,U.N.42-SM10CM-Humd.
60,2,42,rs485-ls-42,3,Sensor Maceta 30cm,2,33,40,U.N.42-SM30CM-Humd.
61,2,43,rs485-ls-43,1,Sensor Maceta 10cm,2,35,42,U.N.43-SM10CM-Humd.
61,2,43,rs485-ls-43,3,Sensor Maceta 30cm,2,33,40,U.N.43-SM30CM-Humd.
63,2,45,rs485-ls-45,1,Sensor Maceta 10cm,2,35,42,U.N.45-SM10CM-Humd.
63,2,45,rs485-ls-45,3,Sensor Maceta 30cm,2,33,40,U.N.45-SM30CM-Humd.
62,2,44,rs485-ls-44,1,Sensor Maceta 10cm,2,35,42,U.N.44-SM10CM-Humd.
62,2,44,rs485-ls-44,3,Sensor Maceta 30cm,2,33,40,U.N.44-SM30CM-Humd.
23,2,30,rs485-ls-30,1,Sensor Maceta 10cm,2,35,42,U.N.30-SM10CM-Humd.
23,2,30,rs485-ls-30,3,Sensor Maceta 30cm,2,33,40,U.N.30-SM30CM-Humd.
27,2,34,rs485-ls-34,1,Sensor Maceta 10cm,2,35,42,U.N.34-SM10CM-Humd.
27,2,34,rs485-ls-34,3,Sensor Maceta 30cm,2,33,40,U.N.34-SM30CM-Humd.
65,2,47,rs485-ls-47,1,Sensor Maceta 10cm,2,35,42,U.N.47-SM10CM-Humd.
65,2,47,rs485-ls-47,3,Sensor Maceta 30cm,2,33,40,U.N.47-SM30CM-Humd.
67,2,49,rs485-ls-49,1,Sensor Maceta 10cm,2,35,42,U.N.49-SM10CM-Humd.
67,2,49,rs485-ls-49,3,Sensor Maceta 30cm,2,33,40,U.N.49-SM30CM-Humd.
38,2,74,rs485-ls-74,1,Sensor Maceta 10cm,2,35,42,U.N.74-SM10CM-Humd.
38,2,74,rs485-ls-74,3,Sensor Maceta 30cm,2,33,40,U.N.74-SM30CM-Humd.
64,2,46,rs485-ls-46,1,Sensor Maceta 10cm,2,35,42,U.N.46-SM10CM-Humd.
64,2,46,rs485-ls-46,3,Sensor Maceta 30cm,2,33,40,U.N.46-SM30CM-Humd.
